ID,FieldA,FieldB,FieldC,FieldD,FieldE,FieldF,FieldG
1,Good,Better,Best,1024,,10241,1
2,Good,,Best,512,,5121,2
3,Good,Better,,256,,256,3
4,Good,Better,Best,,,211,4
5,Good,Better,,64,,6411,5
6,Good,,Best,32,,32,6
7,,Better,Best,16,,1611,7
8,,,Best,8,,8111,8
9,,,,4,,41,9
10,A,B ,C,2,,21111,10
,,,,,,,11
10,Good,Better,Best,1024,,102411,12
10,Good,,Best,512,,512,13
10,Good,Better,,256,,1256,14
10,Good,Better,Best,,,,15
10,Good,Better,,64,,164,16
10,Good,,Best,32,,322,17
10,,Better,Best,16,,163,18
10,,,Best,8,,844,19
10,,,,4,,4555,20
10,A,B ,C,2,,111,21
